温凯喆	男	10000000	111111	-1	1	-1	101.000000	151.000000	102.000000
宋江	男	10000001	111111	1	-1	-1	62.000000	151.000000	91.000000
张三	女	10000002	111111	1	1	-1	62.000000	151.000000	91.000000
王五2	男	10000003	111111	-1	0	0	61.000000	151.000000	91.000000
李四2	男	10000004	000000	-1	0	0	62.000000	151.000000	91.000000
张三三	男	10000005	000000	1	1	1	0.000000	0.000000	0.000000
lz	女	10000006	0/.-,+	-1	1	1	0.000000	0.000000	0.000000
王五2	男	10000006	0/.-,+	1	1	1	0.000000	0.000000	0.000000
李四2	男	10000007	0/.-,+	1	1	1	0.000000	0.000000	0.000000
张三三	男	10000008	0/.-,+	1	1	1	0.000000	0.000000	0.000000
